Strain,OD600,dilution,date,H2O2 treatment,white,black,halfblack,quatblack,3quatblack,quatquatblack,other,Notes
M32*,0.91,100,1/10/2012,0,0,0,0,0,0,0,0,SMEARED HEAVILY
M32*,0.91,100,1/10/2012,0,295,0,0,1,0,0,0,
M32*,0.91,100,1/10/2012,0,322,2,0,0,0,0,1,
M32*,0.91,100,1/10/2012,0.1,178,3,8,0,4,0,5,
M32*,0.91,100,1/10/2012,0.1,154,2,6,3,0,0,6,
M32*,0.91,100,1/10/2012,0.1,171,6,4,1,0,0,0,
M32*,0.91,100,1/10/2012,0.2,250,4,6,2,0,0,4,
M32*,0.91,100,1/10/2012,0.2,241,6,5,2,3,0,12,
M32*,0.91,100,1/10/2012,0.2,243,3,6,7,2,0,8,
M32*,0.91,100,1/10/2012,0.3,100,2,7,0,0,0,0,
M32*,0.91,100,1/10/2012,0.3,129,0,6,0,2,0,1,
M32*,0.91,100,1/10/2012,0.3,101,0,2,2,1,0,2,
M32*,0.91,100,1/10/2012,0.4,94,5,2,3,4,0,4,
M32*,0.91,100,1/10/2012,0.4,96,3,2,1,1,0,6,
M32*,0.91,100,1/10/2012,0.4,96,0,8,3,1,0,2,
M32*,0.91,100,1/10/2012,0.5,90,5,1,3,2,0,2,
M32*,0.91,100,1/10/2012,0.5,95,0,2,3,3,0,5,
M32*,0.91,100,1/10/2012,0.5,86,2,6,0,0,0,7,
M32*,0.91,100,1/10/2012,0.6,79,5,3,1,0,0,1,
M32*,0.91,100,1/10/2012,0.6,83,1,7,5,1,0,4,
M32*,0.91,100,1/10/2012,0.6,80,5,2,3,0,0,4,
M32*,0.91,40,1/10/2012,0.7,118,3,4,2,2,0,8,
M32*,0.91,40,1/10/2012,0.7,122,5,3,0,0,0,5,
M32*,0.91,40,1/10/2012,0.7,120,2,4,3,0,0,6,
M32*,0.91,40,1/10/2012,0.8,85,4,4,2,3,0,0,SMEAR
M32*,0.91,40,1/10/2012,0.8,87,4,2,3,1,0,3,SMEAR
M32*,0.91,40,1/10/2012,0.8,80,1,1,2,1,0,5,SMEAR
M32*,0.91,40,1/10/2012,0.9,82,5,3,2,0,0,6,
M32*,0.91,40,1/10/2012,0.9,82,5,3,3,0,0,7,
M32*,0.91,40,1/10/2012,0.9,80,5,4,4,0,0,5,
M32*,0.91,40,1/10/2012,1,71,3,5,3,1,0,6,
M32*,0.91,40,1/10/2012,1,79,3,3,4,1,0,5,
M32*,0.91,40,1/10/2012,1,0,0,0,0,0,0,0,SMEARED HEAVILY
