Strain,OD600,dilution ,date,H2O2 treatment,white,black,halfblack,quatblack,3quatblack,quatquatblack,other,notes
M32*,1.1,100,1/4/2012,0,312,4,1,0,0,0,0,
M32*,1.1,100,1/4/2012,0,306,2,1,1,0,0,0,
M32*,1.1,100,1/4/2012,0,383,1,2,3,2,0,1,
M32*,1.1,100,1/4/2012,0.1,290,4,13,5,0,0,5,
M32*,1.1,100,1/4/2012,0.1,291,4,4,4,1,0,4,
M32*,1.1,100,1/4/2012,0.1,279,7,12,6,0,0,4,
M32*,1.1,100,1/4/2012,0.2,246,2,14,4,1,0,7,
M32*,1.1,100,1/4/2012,0.2,245,5,6,2,0,0,7,
M32*,1.1,100,1/4/2012,0.2,223,2,6,4,4,0,6,
M32*,1.1,100,1/4/2012,0.3,198,10,11,5,1,0,7,
M32*,1.1,100,1/4/2012,0.3,208,5,14,5,2,0,11,
M32*,1.1,100,1/4/2012,0.3,202,5,7,0,1,0,11,
M32*,1.1,100,1/4/2012,0.4,152,5,7,4,1,0,10,
M32*,1.1,100,1/4/2012,0.4,151,6,1,4,1,0,7,
M32*,1.1,100,1/4/2012,0.4,147,5,7,5,1,0,5,
M32*,1.1,100,1/4/2012,0.5,187,7,8,2,0,0,9,
M32*,1.1,100,1/4/2012,0.5,185,7,9,5,1,0,9,
M32*,1.1,100,1/4/2012,0.5,185,8,14,4,1,0,14,
M32*,1.1,100,1/4/2012,0.6,76,4,3,0,0,0,7,
M32*,1.1,100,1/4/2012,0.6,78,2,3,2,0,0,0,
M32*,1.1,100,1/4/2012,0.6,73,5,3,1,1,0,0,
M32*,1.1,40,1/4/2012,0.7,78,5,4,4,2,0,1,
M32*,1.1,40,1/4/2012,0.7,84,3,6,4,3,0,3,
M32*,1.1,40,1/4/2012,0.7,99,4,7,0,0,0,7,
M32*,1.1,40,1/4/2012,0.8,91,5,3,2,0,0,7,
M32*,1.1,40,1/4/2012,0.8,90,6,5,3,1,0,5,
M32*,1.1,40,1/4/2012,0.8,95,7,3,5,1,0,5,
M32*,1.1,40,1/4/2012,0.9,134,8,8,1,0,0,0,
M32*,1.1,40,1/4/2012,0.9,129,4,9,3,0,0,0,
M32*,1.1,40,1/4/2012,0.9,111,5,5,2,1,0,8,
M32*,1.1,40,1/4/2012,1,84,4,3,2,0,0,4,
M32*,1.1,40,1/4/2012,1,77,9,3,1,2,0,3,
M32*,1.1,40,1/4/2012,1,0,0,0,0,0,0,0,heavily smeared
