Strain,OD600,dilution,date,H202 treatment (%),white,black,halfblack,quatblack,3quatblack,quatquatblack,other
M32*,1.032,100,8/10/2011,0,441,5,1,0,0,0,0
M32*,1.032,100,8/10/2011,0,434,2,0,2,0,0,0
M32*,1.032,100,8/10/2011,0,390,3,3,0,0,0,0
M32*,1.032,100,8/10/2011,0.005,408,2,2,5,1,0,0
M32*,1.032,100,8/10/2011,0.005,436,5,4,7,1,0,0
M32*,1.032,100,8/10/2011,0.005,380,9,2,7,1,0,0
M32*,1.032,100,8/10/2011,0.01,384,6,5,6,3,0,0
M32*,1.032,100,8/10/2011,0.01,387,8,7,4,2,0,0
M32*,1.032,100,8/10/2011,0.01,394,2,2,4,1,0,0
M32*,1.032,100,8/10/2011,0.025,365,4,5,13,1,1,0
M32*,1.032,100,8/10/2011,0.025,390,7,4,6,0,0,0
M32*,1.032,100,8/10/2011,0.025,392,8,4,7,0,1,0
M32*,1.032,100,8/10/2011,0.05,389,12,8,9,2,0,1
M32*,1.032,100,8/10/2011,0.05,352,9,7,14,0,0,0
M32*,1.032,100,8/10/2011,0.05,390,8,9,6,0,1,0
M32*,1.032,100,8/10/2011,0.075,357,6,9,9,2,0,0
M32*,1.032,100,8/10/2011,0.075,362,7,5,8,1,1,0
M32*,1.032,100,8/10/2011,0.075,378,9,5,10,1,0,0
M32*,1.032,100,8/10/2011,0.1,303,7,11,12,5,1,0
M32*,1.032,100,8/10/2011,0.1,326,8,8,11,3,0,0
M32*,1.032,100,8/10/2011,0.1,355,6,6,8,2,0,0
M32*,1.032,100,8/10/2011,0.15,295,5,8,9,2,0,0
M32*,1.032,100,8/10/2011,0.15,286,5,8,9,3,0,0
M32*,1.032,100,8/10/2011,0.15,289,7,6,10,2,4,0
M32*,1.032,100,8/10/2011,0.2,280,7,7,13,1,0,0
M32*,1.032,100,8/10/2011,0.2,247,5,4,14,4,0,1
M32*,1.032,100,8/10/2011,0.2,250,4,3,10,4,1,0
M32*,1.032,100,8/10/2011,0.3,156,4,8,6,2,1,0
M32*,1.032,100,8/10/2011,0.3,157,3,2,6,4,0,0
M32*,1.032,100,8/10/2011,0.3,166,1,5,5,1,0,0
