Strain,OD600nm,dilution,date,H2O2 treatment (%),white,black,halfBlack,quarterblack,3quarterblack,quatquatblack,other,notes
M5*,0.972,100,8/16/2011,0,371,1,1,0,0,0,0,
M5*,0.972,100,8/16/2011,0,381,2,0,0,0,0,0,
M5*,0.972,100,8/16/2011,0,364,1,0,1,0,0,0,
M5*,0.972,100,8/16/2011,0.005,380,3,1,4,1,0,0,
M5*,0.972,100,8/16/2011,0.005,335,1,3,1,0,0,0,
M5*,0.972,100,8/16/2011,0.005,336,0,2,1,2,0,0,
M5*,0.972,100,8/16/2011,0.01,346,0,6,5,1,0,0,
M5*,0.972,100,8/16/2011,0.01,362,4,5,5,3,0,0,
M5*,0.972,100,8/16/2011,0.01,356,2,6,5,3,0,0,
M5*,0.972,100,8/16/2011,0.025,312,4,9,16,3,0,0,
M5*,0.972,100,8/16/2011,0.025,300,3,12,11,1,0,0,
M5*,0.972,100,8/16/2011,0.025,308,7,8,15,2,0,0,
M5*,0.972,100,8/16/2011,0.05,296,7,9,11,7,0,0,
M5*,0.972,100,8/16/2011,0.05,263,11,10,11,4,1,0,
M5*,0.972,100,8/16/2011,0.05,307,5,12,10,1,1,0,
M5*,0.972,100,8/16/2011,0.075,280,9,6,16,10,0,0,
M5*,0.972,100,8/16/2011,0.075,263,7,8,11,4,0,0,
M5*,0.972,100,8/16/2011,0.075,269,8,8,10,7,0,0,
M5*,0.972,100,8/16/2011,0.1,245,7,10,7,4,1,0,
M5*,0.972,100,8/16/2011,0.1,239,4,11,6,5,1,0,
M5*,0.972,100,8/16/2011,0.1,235,8,11,10,3,1,0,
M5*,0.972,100,8/16/2011,0.15,177,8,5,9,3,0,0,
M5*,0.972,100,8/16/2011,0.15,171,8,8,5,4,1,0,
M5*,0.972,100,8/16/2011,0.15,195,4,5,6,2,0,0,
M5*,0.972,100,8/16/2011,0.2,121,10,6,6,5,0,0,
M5*,0.972,100,8/16/2011,0.2,125,7,7,3,4,0,0,
M5*,0.972,100,8/16/2011,0.2,127,3,5,5,6,0,0,
M5*,0.972,100,8/16/2011,0.3,55,4,4,3,3,0,0,
M5*,0.972,100,8/16/2011,0.3,53,3,3,2,0,1,2,
M5*,0.972,100,8/16/2011,0.3,44,3,2,5,1,0,0,
