Strain,OD600,treatment,date,dilutions,white,black,halfblack,quatblack,3/4black,quat.quatblack,other
M32*,1.001,0,3/25/2011,100x,342,3,1,1,0,0,0
M32*,1.001,0,3/25/2011,100x,376,5,2,2,0,0,0
M32*,1.001,0,3/25/2011,100x,371,4,0,0,1,0,0
M32*,1.001,0.005,3/25/2011,100x,363,4,4,9,1,0,0
M32*,1.001,0.005,3/25/2011,100x,387,4,4,7,0,0,0
M32*,1.001,0.005,3/25/2011,100x,360,3,6,8,2,0,0
M32*,1.001,0.01,3/25/2011,100x,333,2,3,3,0,0,0
M32*,1.001,0.01,3/25/2011,100x,337,2,1,5,0,0,0
M32*,1.001,0.01,3/25/2011,100x,375,1,2,8,0,0,0
M32*,1.001,0.025,3/25/2011,100x,299,2,5,6,0,0,0
M32*,1.001,0.025,3/25/2011,100x,352,2,5,3,0,0,0
M32*,1.001,0.025,3/25/2011,100x,313,1,8,11,1,0,0
M32*,1.001,0.05,3/25/2011,100x,366,4,5,2,3,0,0
M32*,1.001,0.05,3/25/2011,100x,328,1,2,5,1,0,0
M32*,1.001,0.05,3/25/2011,100x,365,2,3,5,0,0,0
M32*,1.001,0.075,3/25/2011,100x,350,8,9,16,1,1,0
M32*,1.001,0.075,3/25/2011,100x,301,4,8,11,2,0,0
M32*,1.001,0.075,3/25/2011,100x,340,5,5,3,0,0,0
M32*,1.001,0.1,3/25/2011,100x,356,8,7,8,4,0,0
M32*,1.001,0.1,3/25/2011,100x,357,6,4,10,0,0,0
M32*,1.001,0.1,3/25/2011,100x,337,5,8,9,2,0,0
M32*,1.001,0.15,3/25/2011,10x,408,4,7,10,1,0,0
M32*,1.001,0.15,3/25/2011,10x,410,3,4,11,2,0,0
M32*,1.001,0.15,3/25/2011,10x,373,4,7,7,2,0,0
M32*,1.001,0.2,3/25/2011,10x,302,6,4,11,1,0,0
M32*,1.001,0.2,3/25/2011,10x,259,4,7,10,1,0,0
M32*,1.001,0.2,3/25/2011,10x,351,6,4,5,1,0,0
M32*,1.001,0.3,3/25/2011,10x,197,3,6,5,0,0,0
M32*,1.001,0.3,3/25/2011,10x,238,5,8,13,3,0,0
M32*,1.001,0.3,3/25/2011,10x,210,5,5,7,2,0,0
