Strain,OD600,Dilutions,Date ,H202 treatment (%),White,Black,Halfblack,quatblack,3quatblack,quatquatblack,other
M2-8*,1.057,100x,8/17/2011,0,373,5,0,0,0,0,1
M2-8*,1.057,100x,8/17/2011,0,375,6,0,0,0,0,0
M2-8*,1.057,100x,8/17/2011,0,353,7,0,1,0,0,0
M2-8*,1.057,100x,8/17/2011,0.005,363,3,5,3,2,1,0
M2-8*,1.057,100x,8/17/2011,0.005,357,2,6,5,6,0,0
M2-8*,1.057,100x,8/17/2011,0.005,343,3,2,6,2,0,0
M2-8*,1.057,100x,8/17/2011,0.01,339,8,7,13,3,0,0
M2-8*,1.057,100x,8/17/2011,0.01,338,1,4,8,1,1,0
M2-8*,1.057,100x,8/17/2011,0.01,348,4,8,9,2,0,0
M2-8*,1.057,100x,8/17/2011,0.025,294,5,10,14,0,0,0
M2-8*,1.057,100x,8/17/2011,0.025,281,4,9,14,3,1,0
M2-8*,1.057,100x,8/17/2011,0.025,276,5,8,15,3,0,0
M2-8*,1.057,100x,8/17/2011,0.05,250,0,7,15,3,1,0
M2-8*,1.057,100x,8/17/2011,0.05,246,11,2,8,6,0,0
M2-8*,1.057,100x,8/17/2011,0.05,221,6,5,11,4,0,0
M2-8*,1.057,100x,8/17/2011,0.075,142,1,5,3,2,0,2
M2-8*,1.057,100x,8/17/2011,0.075,154,5,3,3,6,0,0
M2-8*,1.057,100x,8/17/2011,0.075,165,2,9,6,4,0,0
M2-8*,1.057,100x,8/17/2011,0.1,66,2,3,3,1,2,1
M2-8*,1.057,100x,8/17/2011,0.1,81,2,4,3,0,0,1
M2-8*,1.057,100x,8/17/2011,0.1,68,1,1,3,4,0,0
M2-8*,1.057,10x,8/17/2011,0.15,173,5,7,4,4,0,0
M2-8*,1.057,10x,8/17/2011,0.15,156,5,7,3,2,0,0
M2-8*,1.057,10x,8/17/2011,0.15,155,5,3,6,2,0,0
M2-8*,1.057,10x,8/17/2011,0.2,6,0,0,0,0,0,0
M2-8*,1.057,10x,8/17/2011,0.2,3,0,0,0,0,0,0
M2-8*,1.057,10x,8/17/2011,0.2,3,1,1,1,0,0,0
M2-8*,1.057,10x,8/17/2011,0.3,2,0,0,0,0,0,0
M2-8*,1.057,10x,8/17/2011,0.3,2,0,0,0,0,0,0
M2-8*,1.057,10x,8/17/2011,0.3,5,0,0,0,0,0,0
